little,ring,middle,pointer,thumb,accel_x,accel_y,accel_z,result
73,34,80,50,85,9.44034,-1.27132,4.50349,A
90,36,79,48,90,9.90002,0.3304,3.94086,A
90,35,78,47,90,9.79228,0.43096,4.25928,A
86,31,76,44,90,9.66779,0.74939,4.49152,A
83,31,81,46,90,9.75398,0.96007,4.37421,A
88,37,88,47,90,9.61511,1.07021,4.47955,A
87,33,85,46,90,9.82341,0.83797,3.91931,A
85,32,83,46,90,9.65342,1.25696,4.66869,A
84,33,84,45,90,9.67018,1.25935,4.55617,A
81,32,84,45,90,9.72285,1.36709,4.27365,A
84,32,84,46,90,9.71806,1.36948,4.34548,A
82,33,84,45,90,9.71328,1.49877,4.24013,A
83,32,81,46,90,9.74919,1.60651,4.10366,A
83,32,84,45,90,9.57681,1.46286,4.8315,A
80,30,82,43,90,9.49301,1.59693,4.93924,A
82,30,83,43,90,9.63427,1.63763,4.53701,A
81,31,84,44,90,9.61751,2.09971,4.13718,A
83,31,85,46,90,9.67976,1.97282,4.13,A
83,31,82,44,90,9.63187,1.99916,4.14915,A
81,31,84,43,90,9.63427,1.97522,4.1707,A
83,31,85,45,90,9.63906,2.04465,4.07733,A
81,30,85,45,90,9.61751,2.14281,4.16112,A
82,30,83,44,90,9.4978,2.29125,4.27126,A
79,31,83,44,90,9.54329,2.44209,4.0462,A
77,29,81,43,90,9.5385,2.48758,4.06296,A
77,29,82,43,90,9.53132,2.65038,3.91452,A
79,31,82,44,90,9.52174,2.75333,3.77566,A
81,29,83,44,90,9.51216,2.74136,3.79481,A
77,29,84,43,90,9.47864,2.82755,3.80439,A
78,31,79,44,90,9.4978,2.84431,3.7182,A
75,30,82,43,90,9.51935,2.75333,3.76608,A
78,30,81,46,90,9.49062,2.79643,3.79481,A
77,29,79,43,90,9.32542,3.06218,3.95043,A
75,27,87,43,90,9.19613,3.42131,4.0893,A
74,27,90,42,90,9.31344,3.19626,3.98635,A
76,27,90,43,90,9.36372,3.14598,3.8834,A
77,27,90,43,90,9.3302,3.2609,3.81875,A
74,26,89,41,90,9.30626,3.27048,3.83072,A
76,27,90,43,90,9.29908,3.34231,3.83551,A
76,27,90,43,90,9.31823,3.25851,3.87621,A
75,26,87,42,90,9.32542,3.20344,3.95043,A
74,25,86,42,90,9.33499,3.19865,3.87621,A
73,24,88,41,90,9.34457,2.98557,4.46997,A
63,27,82,42,90,9.23683,3.84269,3.31836,A
